sept_paystat,AGE,LIMIT_BAL,sept_bill,aug_bill,sept_payment,july_bill,june_bill,aug_payment,april_bill,may_bill,april_payment,y_actual
2,24,20000,3913,3102,0,689,0,689,0,0,0,1
-1,26,120000,2682,1725,0,2682,3272,1000,3261,3455,2000,1
0,34,90000,29239,14027,1518,13559,14331,1500,15549,14948,5000,0
0,37,50000,46990,48233,2000,49291,28314,2019,29547,28959,1000,0
-1,57,50000,8617,5670,2000,35835,20940,36681,19131,19146,679,0
0,37,50000,64400,57069,2500,57608,19394,1815,20024,19619,800,0
0,29,500000,367965,412023,55000,445007,542653,40000,473944,483003,13770,0
0,23,100000,11876,380,380,601,221,601,567,-159,1542,0
0,28,140000,11285,14096,3329,12108,12211,0,3719,11793,1000,0
-2,35,20000,0,0,0,0,0,0,13912,13007,0,0
0,34,200000,11073,9787,2306,5535,2513,12,3731,1828,66,0
-1,51,260000,12261,21670,21818,9966,8517,9966,13668,22287,3640,0
-1,41,630000,12137,6500,1000,6500,6500,6500,2870,6500,0,0
1,30,70000,65802,67369,3200,65701,66782,0,36894,36137,0,1
0,29,250000,70887,67060,3000,63561,59696,3000,55512,56875,3000,0
1,23,50000,50614,29173,0,28116,28771,1500,30211,29531,1100,0
0,24,20000,15376,18010,3200,17428,18338,0,19104,17905,0,1
0,49,320000,253286,246536,10358,194663,70074,10000,195599,5856,50000,0
1,49,360000,0,0,0,0,0,0,0,0,0,0
1,29,180000,0,0,0,0,0,0,0,0,0,0
0,39,130000,38358,27688,3000,24489,20616,1537,930,11802,33764,0
-1,39,120000,316,316,316,316,0,316,316,632,0,1
2,26,70000,41087,42445,2007,45020,44006,3582,46012,46905,1820,1
-2,40,450000,5512,19420,19428,1473,560,1473,0,0,1128,1
0,23,90000,4744,7070,5757,0,5398,0,8292,6360,2000,0
0,23,50000,47620,41810,1973,36023,28967,1426,30046,29829,997,0
1,27,60000,-109,-425,0,259,-57,1000,-189,127,1000,1
0,30,50000,22541,16138,1300,17163,17878,1300,19617,18931,1012,0
-1,47,50000,650,3415,3415,3416,2040,3421,257,30430,0,0
0,26,50000,15329,16575,1500,17496,17907,1500,11400,18375,0,0
-1,27,230000,16646,17265,17270,13266,15339,13281,36923,14307,0,0
2,33,50000,30518,29618,1718,22102,22734,1500,23680,23217,716,1
0,32,100000,93036,84071,3023,82880,80958,3511,75589,78703,2504,0
-2,54,500000,10929,4152,4152,22722,7521,22827,8981,71439,51582,0
-2,58,500000,13709,5006,5006,31130,3180,31178,5293,0,768,0
-1,30,160000,30265,-131,131,-527,-923,396,-1884,-1488,0,0
0,40,280000,186503,181328,8026,180422,170410,8060,177413,173901,6737,0
0,22,60000,15054,9806,1500,11068,6026,1518,18660,-28335,617,0
1,25,50000,0,780,780,0,0,0,0,0,0,1
